Date,Close
2020-01-20,305.58
2020-01-21,302.11
2020-01-22,306.08
2020-01-23,302.33
2020-01-28,292.77
2020-01-29,293.98
2020-01-30,288.37
2020-01-31,284.53
2020-02-03,285.05
2020-02-04,290.68
2020-02-05,292.02
2020-02-06,300.65
2020-02-07,298.21
2020-02-10,296.24
2020-02-11,299.28
2020-02-12,301.54
2020-02-13,300.93
2020-02-14,303.01
2020-02-17,302.76
2020-02-18,297.74
2020-02-19,298.33
2020-02-20,296.65
2020-02-21,292.42
2020-02-24,281.02
2020-02-25,284.24
2020-02-26,279.94
2020-02-27,277.09
2020-02-28,268.02
2020-03-02,270.37
2020-03-03,271.56
2020-03-04,278.13
2020-03-05,281.38
2020-03-06,275.1
2020-03-09,263.11
2020-03-10,264.67
2020-03-11,257.01
2020-03-12,247.62
2020-03-13,240.65
2020-03-16,232.97
2020-03-17,226.89
2020-03-18,215.83
2020-03-19,199.28
2020-03-20,213.67
2020-03-23,201.87
2020-03-24,220.34
2020-03-25,232.89
2020-03-26,229.34
2020-03-27,233.79
2020-03-30,232.45
2020-03-31,236.82
2020-04-01,226.35
2020-04-02,231.84
2020-04-03,231.7
2020-04-06,240.81
2020-04-07,244.87
2020-04-08,241.89
2020-04-09,245.61
2020-04-10,248.0
2020-04-13,243.4
2020-04-14,247.45
2020-04-16,247.1
2020-04-17,255.02
2020-04-20,252.14
2020-04-21,249.4
2020-04-22,251.88
2020-04-23,253.74
2020-04-24,250.28
2020-04-27,254.84
2020-04-28,256.39
2020-04-29,258.15
2020-05-04,250.6
2020-05-06,255.0
2020-05-07,254.46
2020-05-08,256.62
2020-05-11,254.95
2020-05-12,253.37
2020-05-13,255.85
2020-05-14,253.65
2020-05-15,253.79
2020-05-18,255.44
2020-05-19,261.79
2020-05-20,262.72
2020-05-21,263.74
2020-05-22,259.62
2020-05-25,262.76
2020-05-26,267.31
2020-05-27,267.64
2020-05-28,268.29
2020-05-29,268.32
2020-06-01,273.19
2020-06-02,276.08
2020-06-03,285.91
2020-06-04,286.45
2020-06-05,290.62
2020-06-08,290.77
2020-06-09,291.32
2020-06-10,291.9
2020-06-11,288.62
2020-06-12,281.78
2020-06-15,267.95
2020-06-16,282.59
2020-06-17,283.02
2020-06-18,281.91
2020-06-19,283.37
2020-06-22,281.42
2020-06-23,281.94
2020-06-24,286.7
2020-06-25,279.73
2020-06-26,283.38
2020-06-29,278.04
2020-06-30,280.09
2020-07-01,280.26
2020-07-02,283.86
2020-07-03,285.89
2020-07-06,290.62
2020-07-07,286.77
2020-07-08,285.97
2020-07-09,287.25
2020-07-10,285.06
2020-07-13,289.84
2020-07-14,289.63
2020-07-15,292.27
2020-07-16,289.25
2020-07-17,291.57
2020-07-20,290.81
2020-07-21,295.16
2020-07-22,294.04
2020-07-23,292.37
2020-07-24,290.66
2020-07-27,293.51
2020-07-28,300.13
2020-07-29,301.25
2020-07-30,301.85
2020-07-31,299.32
2020-08-03,299.46
2020-08-04,303.04
2020-08-05,306.64
2020-08-06,311.32
2020-08-07,312.57
2020-08-10,316.77
2020-08-11,321.02
2020-08-12,322.68
2020-08-13,323.33
2020-08-14,319.24
2020-08-18,312.84
2020-08-19,313.54
2020-08-20,301.59
2020-08-21,306.16
2020-08-24,309.33
2020-08-25,313.59
2020-08-26,314.19
2020-08-27,311.38
2020-08-28,312.24
2020-08-31,307.14
2020-09-01,309.81
2020-09-02,311.5
2020-09-03,316.43
2020-09-04,312.03
2020-09-07,313.67
2020-09-08,317.38
2020-09-09,313.77
2020-09-10,316.53
2020-09-11,316.45
2020-09-14,320.98
2020-09-15,323.36
2020-09-16,322.31
2020-09-17,318.0
2020-09-18,318.39
2020-09-21,315.89
2020-09-22,308.82
2020-09-23,309.64
2020-09-24,302.48
2020-09-25,303.57
2020-09-28,307.03
2020-09-29,309.44
2020-10-05,313.51
2020-10-06,314.45
2020-10-07,317.35
2020-10-08,317.47
2020-10-12,319.15
2020-10-13,319.58
2020-10-14,316.57
2020-10-15,313.92
2020-10-16,311.83
2020-10-19,312.59
2020-10-20,314.71
2020-10-21,315.76
2020-10-22,313.77
2020-10-23,314.79
2020-10-26,313.53
2020-10-27,311.8
2020-10-28,313.17
2020-10-29,309.94
2020-10-30,301.6
2020-11-02,305.95
2020-11-03,312.07
2020-11-04,313.83
2020-11-05,321.51
2020-11-06,322.1
2020-11-09,325.83
2020-11-10,326.13
2020-11-11,331.12
2020-11-12,329.72
2020-11-13,333.03
2020-11-16,340.63
2020-11-17,339.85
2020-11-18,339.96
2020-11-19,340.16
2020-11-20,340.62
2020-11-23,348.46
2020-11-24,350.28
2020-11-25,348.3
2020-11-26,352.12
2020-11-27,352.73
2020-11-30,346.05
2020-12-01,352.4
2020-12-02,358.66
2020-12-03,361.66
2020-12-04,367.63
2020-12-07,369.86
2020-12-08,363.45
2020-12-09,371.47
2020-12-10,369.37
2020-12-11,372.24
2020-12-14,371.56
2020-12-15,370.88
2020-12-16,372.53
2020-12-17,372.0
2020-12-18,371.55
2020-12-21,372.18
2020-12-22,366.43
2020-12-23,371.32
2020-12-24,379.18
2020-12-28,379.93
2020-12-29,381.27
2020-12-30,389.29
2021-01-04,399.88
2021-01-05,406.03
2021-01-06,402.08
2021-01-07,410.81
2021-01-08,430.22
2021-01-11,431.13
2021-01-12,427.87
2021-01-13,430.38
2021-01-14,429.85
2021-01-15,420.43
2021-01-18,410.5
2021-01-19,421.35
2021-01-20,424.01
2021-01-21,430.27
2021-01-22,427.13
2021-01-25,437.3
2021-01-26,426.73
2021-01-27,423.67
2021-01-28,416.4
2021-01-29,404.56
2021-02-01,415.45
2021-02-02,421.03
2021-02-03,425.21
2021-02-04,418.31
2021-02-05,423.3
2021-02-08,418.95
2021-02-09,417.91
2021-02-10,419.65
2021-02-15,427.01
2021-02-16,429.24
2021-02-17,424.2
2021-02-18,417.44
2021-02-19,420.94
2021-02-22,416.88
2021-02-23,415.82
2021-02-24,407.16
2021-02-25,422.52
2021-02-26,409.91
2021-03-02,414.8
2021-03-03,420.27
